id,origin_user,origin,destination,flight_type,travel_date,overall_rating,review_text
40589,"Igualada, España",Bilbao,Tenerife,Domestic,septiembre de 2025,1,"En este vuelo nos perdieron la maleta, hicimos una reclamación  PIR y la maleta se nos entregó en hotel de Matalascañas 1 día después, llegando la maleta con candado y cremallera rotos, todo el contenido removió y con falta de una chaqueta impermeable North Face color azul.
La respuesta de la compañía a nuestra reclamación con fotos , etc.. es que es un daño menor que no cubre la compañía…
Sensación de impotencia ante estos atropellos que tenemos que padecer y aceptar los usuarios.
Nunca ma con Vueling"
40590,Desconocido,Barcelona,Seville,Domestic,noviembre de 2025,1,"Me rompen la maleta, me envían una más grande y horrorosa. No coincide modelo, color, medida ni calidad.  (no puedo utiliza en cabina) y se quedan tan anchos. 
Cierran la reclamación porque para ellos ya me han indemnizado. 
Unos SINVERGÜENZAS. 
Reclamo a la Agencia Estatal de Seguridad Aérea AESA"
40591,Desconocido,Barcelona,Oviedo,Domestic,noviembre de 2025,1,"En facturación casi una hora de cola, a las 12,10 h. solo dos mostradores para más de 100 pasajeros, consecuencia, llamada para cerrar la facturación al mostrador específico en todos los vuelos, consecuencias, solo un mostrador para el resto.
Una vergüenza."
40592,Desconocido,Palma de Mallorca,Barcelona,Domestic,noviembre de 2025,2,"Esta es la versión de nuestra página web dirigida a los hablantes deEspañolenEspaña. Si resides en otro país u otra región, selecciona la versión correspondiente de Tripadvisor en el menú desplegable.Tripadvisor  LLC no garantiza la efectiva disponibilidad de los precios publicitados en nuestro sitio web o nuestras aplicaciones. Las listas de precios pueden estar sujetas a una duración específica o estar acompañadas de restricciones en las fechas, requisitos específicos u otras restricciones. Tripadvisor  LLC no se responsabiliza del contenido de sitios web externos que no son propiedad de ni están gestionados por Tripadvisor .Tripadvisor LLC no es una agencia de reservas ni un turoperador. Cuando reserves con uno de nuestros socios, asegúrate de mirar bien su sitio web para obtener información de todas las tasas aplicables."
40593,Desconocido,Bilbao,Granada,Domestic,noviembre de 2025,1,"El lunes 10 de noviembre reservé el vuelo desde Granada a Bilbao que salía el domingo 16 con la agencia Edreams. Una vez pagado me doy cuenta que estaba duplicado, me lo habían cobrado dos veces. Al momento llamé a Edreams (que por cierto me cogieron enseguida) y me comentan que si que hay una duplicidad de reserva pero que ellos no podían cancelarla que tenía que ser la aerolínea que es Vueling. Me dieron los teléfonos para llamar y fue imposible hablar con una persona física porque la máquina con la hablas ya se encarga de ello. Al final lo conseguí por chat y muy amablemente me comunicaron que efectivamente ha habido una duplicidad y que me devuelven el dinero, me enviaron un correo donde dice el código de reserva cancelado y el que tenía que usar y la cantidad que me reembolsan 99,99€, cuando yo pagué 109,11€ pero bueno da igual porque hasta el día de hoy no he recibido el dinero. Contacté con ellos respondiendo al correo que me enviaron y les dije que no había recibido el dinero y que igual era porque pagué con paypal. Me respondieron diciendo que habían realizado el reembolso utilizando el mismo método de pago que empleé en la compra, y que igual tendría que hablar con la agencia de viajes para reclamar el importe. El viernes hablé con Edreams por teléfono, (porque ellos sí te cogen) y me dijeron que ellos no han recibido el reembolso y hasta que Vueling no les envíe el dinero ellos no me lo pueden abonar. Hablé con paypal y me dijeron lo mismo que ellos no tienen orden de ningún reembolso. Intento hablar con Vueling pero es imposible, os escribí otro correo el viernes explicando lo que me dijo Edreams y ni habeis respondido. Me estáis tomando el pelo de una forma vergonzosa. Esto es frustrante porque veo que os pasáis la pelota unos a otros. Si esto no se soluciona tendré que ir a la organización de consumidores y usuarios y hacer la denuncia pertinente."
40594,"Barcelona, España",Bilbao,Barcelona,Domestic,noviembre de 2025,5,"Hemos volado Bilbao Barcelona en el vuelo de las 22,05h y quería resaltar la amabilidad, simpatía y buen hacer del azafato Martin, así da gusto volar con Vueling! Súper atento! Un 10 para él!"
40595,Desconocido,Seville,Bilbao,Domestic,noviembre de 2025,1,"Compré un vuelo en mayo, para salir de Sevilla a las 17:50. Por el que pago una diferencia de +80€, respecto al que salía a las 21:15. Total que me cambian el vuelo al de las 21:15 sin motivo y sin ofrecer alternativa horaria para ese mismo día.
Y ahora el vuelo que tenía que salir a las 21:15 sale a las 22:00 por retraso. 
Un asco de aerolínea"
40596,Desconocido,Milan,Barcelona,Europe,noviembre de 2025,2,"Hemos comprado 3 billetes más caros de Vueling, mis padres y yo, para el supuesto ""space plus"", cuyas ventajas, según la web, incluyen: más espacio para los pies, embarque prioritario y espacio exclusivo para el equipaje de mano. Resulta que hubo lío en el embarque y se mezclaron distintos grupos. O sea, de embarque prioritario nada. Y cuando llegamos a nuestros asientos los ""compartimentos exclusivos"" estaban a rebosar. Tuvimos que poner los equipajes mucho más al fondo. Nos es el fin del mundo, claro. Pero si la empresa vende algo más caro, que sabe que no puede entregar,  eso tiene un nombre: timo. Compramos las comodidades justo porque mis padres ya son algo mayores, pero de poco nos ha servido"
40597,Desconocido,Almeria,Barcelona,Domestic,noviembre de 2025,1,Durante la reserva me cambiaron el precio antes de poder cerrarla. Además te cobran ilegalmente el equipaje de mano. Es lamentable.
40598,Desconocido,London,Bilbao,Europe,noviembre de 2025,1,Viajo casi todas las semanas a Londres por trabajo. Desafortunadamente me veo obligada a viajar con Vueling porque es la opcion mas cercana que tengo desde Pamplona. Su servicio al cliente es lamentable. He comprado una maleta especial para visjar con ellos y en cada vuelo tengo que levantar ls bolsa y po erls en la caja. Ademas sus formas de tratar al cliente dejan mucbo que desear. Hoy ya han superado el colmo de los colmos. Ademas de la maleta bajo el asiento llevaba dos bolsas de plastico con compras del aeropuerto. Me han hecho pagar como si fuera una maleta para poder subir esas bolsas. Tenia tickets de todo excepto de una caja de galletas. Y a pesar de todo he tenido que pagar para poder montarme en el.avion. Esto despues de embarcar con una hora y media de retraso y con csmbio de puerta de embarque. Pero por supuesto nadie se ha disculpado. Es vergonzosa la falta de educacion de sus empleados y sus limitaciones ridiculas. Nunca lo recomendaria
40599,Desconocido,Paris,Valencia,Europe,noviembre de 2025,1,"Con mi maleta de cabina que estoy cansado de viajar con distintas aerolíneas, al llegar al aeropuerto, Vueling se inventa que mi maleta no es de cabina (me muestran las medidas que consideran cabina ellos, y era algo parecido de tamaño a un bolso de fiesta de mano). Con lo que si quiero llevar mi maleta de cabina en la bodega del avión, debo pagar 47€… A continuación pido factura de lo pagado y me lo niegan, siendo la respuesta que me apañe solicitándola online… Una verdadera vergüenza."
40600,"Algeciras, España",Malaga,Barcelona,Domestic,noviembre de 2025,1,"Compré mis billetes de ida y vuelta con Iberia en tarifa Comfort, justamente buscando un viaje más cómodo porque viajo con mi bebé de un año y dos meses, y además por motivos médicos importantes en el destino. Sin embargo, el vuelo es operado por Vueling y no se respetan las condiciones que pagué: ni el asiento amplio, ni la prioridad de embarque, ni el trato correspondiente a la tarifa contratada.
Lo más decepcionante es que Iberia se desentiende diciendo que el vuelo es de Vueling, y Vueling dice que todo depende de Iberia. Al final, el pasajero queda sin solución, después de haber hecho un gran esfuerzo económico —incluso financiando el viaje— y teniendo que viajar incómoda con una bebé en brazos, como a ellos les plasca y mas cuando hay asientos disponibles aún 

Mi caso no es un capricho, es una necesidad. Es lamentable que dos aerolíneas tan grandes se pasen la responsabilidad entre sí, sin pensar en los pasajeros que confiamos en ellas y pagamos por un servicio que nunca recibimos. Si esto es asi no me quiero imaginar en el vuelo q me eligieron el asiento q les dio la gana y no me facturaron la maleta de 23kl jajaja son de lo peor"
40601,Desconocido,Istanbul,Barcelona,Europe,noviembre de 2025,5,"No es facil de contactarse en  el momento, pero en momento de la verdad y en situación complicada hay una gran comprención. No voy a explicar los detalles pero quiero agradecer el Vueling por mirar cada caso y ver las situaciones extremas. Era vuestra clienta y segiré con vosotros. Gracias Vueling!"
40602,Desconocido,Las Palmas de Gran Canaria,Seville,Domestic,octubre de 2025,1,"El servicio de asistencia lleva a los PMRs al mostrador de facturación, y se niegan a darles la tarjeta de embarque, aunque no había nadie en la cola. Con la excusa de que hasta que no acaben con el vuelo anterior.
La asistencia nos deja en los asientos, teniendo que esperar a que otra asistencia venga posteriormente..., en el embarque la señorita se dirige al PMR de forma muy maleducada.
Al regreso del vuelo, lo mismo, la asistencia les lleva a facturación y se niegan a darles la tarjeta de embarque. Obligando a que una nueva asistencia venga de nuevo más tarde.
Única compañía aérea que actúa con tal falta de respeto a los PMRs, y a las asistencias."
40603,Desconocido,Ibiza,Barcelona,Domestic,noviembre de 2025,1,"Denuncia pública:
@vueling ha rechazado el embarque de mi perra de asistencia Moka, impidiéndome viajar y salir de mi propia isla, pese a presentar toda la documentación exigida por la normativa española y europea.
En España, los perros de asistencia se acreditan mediante documentación oficial emitida por la autoridad competente, no por entidades privadas como ADI.
Poseo la credencial oficial N.º RCA/001/22, emitida por el Consell d’Eivissa bajo el Real Decreto 409/2025 (BOE-A-2025-10490) y la normativa autonómica.
Dicha acreditación fue validada por el Govern Balear, Policía Nacional y Ayuntamiento.
El Reglamento (CE) 1107/2006 prohíbe discriminar a personas con discapacidad y negar asistencia cuando la acreditación es oficial.
Exijo a @vueling que rectifique, cumpla la ley y reconozca a Moka como perra de asistencia acreditada.
La accesibilidad no es un favor: es un derecho."
40604,Desconocido,Amsterdam,Malaga,Europe,noviembre de 2025,1,"¡Atención! JAMÁS reserven un vuelo con esta aerolínea. Cambian los vuelos incluso cinco minutos después de haber reservado. Es IMPOSIBLE contactarlos por teléfono; pueden comprobarlo ustedes mismos en su página web. Aviones antihigiénicos, sencillamente, muy sucios. Personal muy antipático. GASTA UNOS EUROS MÁS EN UN VUELO Y OBTENDRÁS LO QUE PAGAS. No entiendo por qué otra inspección no se ha hecho cargo todavía de esta aerolínea. Iberia, ¡qué vergüenza!"
40605,Desconocido,Barcelona,Menorca,Domestic,septiembre de 2025,1,"La peor aerolínea con la que se puede volar. El mes de septiembre volé a Menorca(de donde soy) y me perdieron TODO LO DE MI BODA (era en 2 semanas). Tuve que comprarlo TODO de nuevo. Y tras poder reunir por fin TODAS LAS FACTURAS me dicen que NO ME LO PAGAN. A parte del disgusto de haber perdido todo lo que nos costó conseguir /hacer durante 2 años para NUESTRO DIA, encima lo hemos pagado x2. GRACIAS VUELING , por nada."
40606,Desconocido,Barcelona,Tenerife,Domestic,septiembre de 2025,1,"Si quieres llegar a tu destino el dia y hora previstos, esta no es la compañia. El overbooking está a la orden del dia. Me ha ocurrido a mi y a mi familia 3 veces en 2 meses. Con la consiguiente perdida de enlaces y compromisos. Ni se te ocurra contratar con ellos si tienes enlaces con otros vuelos, trenes, etc. Y para colmo, reclamar es un laberinto diabólico"
40607,Desconocido,Valencia,Bilbao,Domestic,octubre de 2025,1,"Recomiendo tener cuidado al adquirir los billetes de esta compañía. 
Compré un billete para poder estar junto a mi hermana a la que sometían a una operación delicada. La cirugía se pospuso cuando faltaban 10 días para la misma. Ante esta situación, me puse en contacto con Vueling, compañía a la que envié un certificado emitido por el cirujano, en el que se indicaba el cambio de la fecha  y su reprogramación. Vueling desestimó la petición y emití un nuevo billete, ya que desafortunadamente no hay otra compañía que opere este destino. Al no haber volado el 18/10/2025, solicité la devolución de las tasas a través de un formulario y la compañía me ha contestado, facilitado un número de expediente e indicado que llame al teléfono de atención al cliente. Para mi sorpresa, la persona que me ha atendido, a la que no se le entendía demasiado bien, me ha informado que el coste de la devolución de las tasas aeroportuarias era de 15€, importe superior al montante de las mismas.
Afortunadamente, el viaje de ida a la residencia de mi hermana lo hice con otra compañía de bajo coste, que me reembolsó la cantidad en forma de crédito. El servicio al cliente fue rápido y transparente en cuanto al intercambio de correspondencia electrónica, algo que no se puede decir de Vueling ya que desde su servicio de atención al cliente, han afirmado que no pueden poner por escrito el coste de la gestión por reembolso de tasas aeroportuarias.
En el futuro y si tengo otra opción, evitaré volar con esta compañía."
40608,Desconocido,Barcelona,London,Europe,septiembre de 2025,1,"miembro del club Sin embargo la aplicación (app y web) no me deja acceder Tampoco me deja cambiar / recordar la contraseña ni registrarme de nuevo ( pues ya estoy registrado ) Llevo 30 días esperando me solucionen el problema , 3 llamadas y 13 mails Sigo sin solución y por te ro sin poder revisar o usar los avíos Pésimo servicio"
40609,Desconocido,Malaga,Las Palmas de Gran Canaria,Domestic,octubre de 2025,1,"Una porqueria, el último viaje, usureros, rastreros, hacen que se te quiten las ganas de viajar. El tiempo os pondrá en vuestro sitio. Asquerosos"
40610,"Fuengirola, España",Barcelona,Rimini,Europe,octubre de 2025,1,"La peor compañía que vi en toda mi vida, nos han cancelado el vuelo a mi y a 9 pasajeros más hoy en Málaga porque dicen que ha sido una sobreventa de billetes y que no hay asientos para nosotros. Es lo más absurdo que te puede pasar cuando ya tienes planes muy importantes de trabajo. No voy a volar más con esa compañía ni gratis."
40611,Desconocido,Barcelona,Florence,Europe,octubre de 2025,1,"Es una vergüenza de compañía, mi pareja y yo pagamos los asientos para poder sentarnos juntos, ya que era la primera vez que volábamos juntos y por la cara me cambian el asiento a uno mejor. A mí no me importa lo material, yo solo quería disfrutar del momento con mi pareja y por supuesto que monté un pollo porque conmigo no se juega. Conseguí mi asiento ya que yo lo había pagado y todo gracias a la chica que estaba en mi asiento que quiso ayudarme porque los azafatos son una vergüenza. Tristes que sois unos tristes"
40612,Desconocido,Barcelona,Dublin,Europe,octubre de 2025,2,"Todo fatal, se equivocaron de vuelo, por su culpa perdí el vuelo. Me pidieron disculpas por su error,  pero tuve que pagar 250€ más por su error, para coger otro vuelo."
40613,Desconocido,London,Malaga,Europe,octubre de 2025,1,"Cuando me senté en mi asiento me vino un olor a vomitos, pero no dije nada, mi sorpresa fue cuando fui a ponerme el cinturón me manché la mano de vomitos. Los azafatos simplemente me cambiaron de sitio. Cuando llegué a mi casa, me di cuenta que el pantalón lo tenia manchado por atrás. He tenido que tirar el pantalón porque después de lavarlo varias veces el ácido de las manchas no se quita. Es una verguenza, no volveré a volar con Vueling."
40614,"Barcelona, España",Barcelona,Istanbul,Europe,octubre de 2025,1,"Es la segunda vez que salen las maletas muy sucias y con manchas como de grasa, una la he tenido que tirar, ya que NO salían las manchas y la maleta era granate. Tienen que tener las bodegas muy sucias y no me vale que digan que es en el aeropuerto, ya que con  ninguna otra compañía nos ha pasado, si es así límpienlas por favor. 
Decir en positivo que últimamente las azafatas son más agradables y educadas, cosa que antes en su mayoría, no eran."
40615,Desconocido,Barcelona,Munich,Europe,octubre de 2025,1,Alquile un coche a través de Vueling  cars es una estafa tuve q pagar más casi el doble de lo q había pagado. Pésimo. Será denunciado . No se puede permitir ese abuso.
40616,Desconocido,London,Seville,Europe,octubre de 2025,1,"No es la primera vez que tengo una pésima experiencia con esta compañía, sobre todo por la prepotencia de sus empleados. Siempre dan problemas a pesar de la nefasta gestión de todo el pasaje. Espero no tener que volver a volar nunca con ellos. A día de hoy lanceoladas compañía de bajo coste"
40617,Desconocido,Valencia,Tenerife,Domestic,agosto de 2025,1,"Me perdieron la maleta facturada y no me la devolvieron hasta el día de antes de volverme a casa. Llevo intentando que me paguen lo que me gasté debido a la pérdida desde agosto, estamos ahora mismo en octubre, y de momento no me han pagado los gastos de primera necesidad. He llamado muchas muchas veces a vueling, sí que te cogen el teléfono pero se lavan las manos diciendo que te envían correos y que lo gestiones por ahí. No vuelvo a volar con ellos nunca más."
40618,Desconocido,Palma de Mallorca,Barcelona,Domestic,septiembre de 2025,1,"Pésima experiencia, muchos problemas para el embarque, el personal del aeropuerto de Palma es lamentable, prepotente y nada amigable, no vuelvo a volar con ellos. Prefiero RyanAir mil veces."
40619,Desconocido,Barcelona,Paris,Europe,octubre de 2025,1,"Nos hicieron medir las mochilas de mano justo antes de entrar, cabian perfectamente en el cajón sin sobresalir y aún así nos hicieron pagar los 60€ de equipaje de cabina. Al no haber sitio en la cabina nos las pusieron abajo con las mochilas facturadas porque arriba ya no cabian (bajo el asiento hubieran entrado sin problema), les explicamos que teniamos la proxima conexión un poco justa de tiempo y no nos quiso escuchar el señor de Vueling (Aeropuerto Barcelona)."
40620,Desconocido,Tenerife,Barcelona,Domestic,octubre de 2025,1,"Nos cambiaron el vuelo a un grupo de 8 personas por problemas con el clima, un servicio de atención telefónica horrible, no teníamos manera de solucionar el problema de una señora del grupo de 75 años que la dejaron sola en un vuelo de 30 horas mas tarde, casi no tienen personal en tierra, la suerte que una trabajadora (Ruth) no ayudo y nos soluciono todo .... gracias 🙏 muy malo el servicio de atención al clinete telefónico..."
40621,Desconocido,Tenerife,Santiago de Compostela,Domestic,octubre de 2025,1,"Siempre hay algún problema con esta compañía. Cada vuelo tiene retraso. No hay forma de ser puntual. Cabreado no, lo siguiente"
40622,Desconocido,Barcelona,Rome,Europe,octubre de 2025,1,"Fue la peor experiencia de mi vida, nos pidieron un documento que no teníamos y que no era necesario y no pudimos embarcar en el avión, nos dejaron en otra ciudad sin lugar donde dormir descansar, comer, estuvimos atrapados un día en una ciudad que no teníamos ni si quiera prevista, dejaron a mi madre y a mí a cargo de mis abuelos que hasta les cuesta caminar. Sin duda horrible."
40623,Desconocido,La Coruna,Paris,Europe,octubre de 2025,1,"Check in web no me funciona
Instalo app. No me deja escoger asiento gratuito en el segundo vuelo.
Llamo a atención al cliente. No me dan opciones a marcar para ayudarme con el problema de selección de asiento. Me cuelgan con un ""esperamos verte pronto""."
40624,Desconocido,Madrid,Florence,Europe,octubre de 2025,1,"Nos hicieron un cambio de hora del vuelo de regreso sin dar otra opción que no fuese rechazar el vuelo y quedarme en Florencia o buscarme la vida con otro vuelo.  Después compruebo que el mismo vuelo que me habían quitado vuelve a estar disponible pero no me permiten volver al mismo, me piden 50€ por cada billete si quiero cambiarlo. Pero además, una vez en el aeropuerto, tanto en la ida como en la vuelta, me encuentro que ambos vuelos sufren un retraso.
Y por si fuera poco, al coger otro vuelo distinto más barato,  puesto que no me permiten cambiarlo sin pagar 50€ por cada uno,  me dicen que puedo reclamar las tasas de embarque del vuelo no usado. Pues cuando reclamo dichas tasas, me cobran 15€ por la gestión, o sea, tu reclamas y ellos te cobran por reclamar. Vamos, un fiasco de compañía, en mi opinión"
40625,Desconocido,Barcelona,Rome,Europe,octubre de 2025,1,"Ineficientes!! Otra vez y esta es la tercera!! Sin contemplación, NUNCA MÁS CON VUELING!! La excusa de hoy:  mi familia llegó a tiempo al aeropuerto de El Prat y había una fila interminableeee para llegar al mostrador. Cuando llegaron... Sorpresa!! Ya no podían meter la maleta y tuvieron que pagar 125€ cada una por el cambio. Van dos cancelaciones en un mes y ahora esto. No las dejaron subir aunque llegaron a tiempo. Desastre y decepción total. Nunca jamás!!"
40626,Desconocido,Bilbao,Barcelona,Domestic,septiembre de 2025,4,"De verdad que como siempre me pareció perfecto, el vuelo salió puntual, todo bien, ordenado, comenzaron a embarcar por grupos como decía la azafata y la salida igual nos mandaron a bajar por orden en fila y iban de de la 1 a la 5 luego las otras y así sucesivamente, los tripulantes de cabina estuvieron pendiente de todo, lo único fue y una de las azafatas la llamamos para pedir algo del menú que vendían en el avión y llegó como cansada, sin ganas de querer responder a nuestras preguntas, siempre tuvo la cara como molesta, pero me imagino que ya tenía muchas horas de vuelo...eso quiero pensar aunque era las 8:00 a.m"
40627,"Bilbao, España",Bilbao,Alicante,Domestic,septiembre de 2025,3,"Como digo en el título y para no variar una de cal y otra de arena como en cada viaje que hacemos con ellos. A la ida con ilusión ya que fuimos en el avión decorado con los colores del Athletic al que nos llevaron en bus para así poder verlo bien y hacernos unas fotos con una amable tripulación y en especial su comandante que incluso nos cometo en plan jocoso a ver que nos parecía ya que lo habían estado pintando ellos toda la noche. Gracias comandante. A la vuelta y como siempre desde Alicante, ya debe ser norma para estropearnos las vacaciones disfrutadas y amargarnos la vuelta, retraso en aviso para embarcar, lentitud en el pase por la puerta de embarque, habían perdido a dos pasajeros que iban en silla de ruedas, andando al piso de abajo y 15 minutos esperando al autobús, embarque en el avión y cuando han cerrado las puertas no dice el piloto que tiene que abrirlas de nuevo porque el aire acondicionado no funciona y tiene que venir un técnico para arreglarlo, mas retraso. Ya al final despegamos y llegamos a nuestro destino."
40628,Desconocido,Santa Cruz de la Palma,Barcelona,Domestic,septiembre de 2025,1,"Nos cambiaron 2 veces de puerta de embarque,corriendo como dementes por el aeropuerto,gente mayor,niños,tuvimos que embarcar en la pista,y aún estoy esperando una disculpa."
40629,Desconocido,Bilbao,London,Europe,septiembre de 2025,1,"No volar con Vueling si es posible evitarlo: cambios frecuentes de horario de vuelo una vez comprado el billete,precios abusivos por maleta y selección de asiento y cancelación de vuelo el mismo día del vuelo programado"
40630,"Bilbao, España",Bilbao,Tenerife,Domestic,agosto de 2025,1,"Viendo el nivel medio de las reseñas se entienden muchas cosas.
He estado 12 dias en Santa Cruz de Tenerife, tierra muy querida por mi así como a sus gentes. Lo hemos pasado realmente bien disfrutando de sus maravillosos paisajes, de la amabilidad de sus gentes, de sus guachinches......casi todo perfecto.
Ha habido dos empresas que han intentado romper esta idílica relación aunque no lo han conseguido.
Una de ellas ha sido Vueling. A ver si logro un poco de claridad con un relato corto.
Organizamos todas las partes del viaje con bastante antelación.
Viajábamos dos personas y cogimos un complemento a los billetes (nos dijeron en Vueling que luego se podía cambiar cosa que no fue así) que incluía maletas, elección de asiento etc y creemos que también se incluía embarque prioritario aunque no estamos seguros 100%.
Al realizar el cheking online no venia en las tarjetas el embarque preferente por lo que llamamos a Vueling (Manuel) quien nos informó que si estaba incluido aunque no siempre se recogía así en las tarjetas.
Ya en el aeropuerto y al facturar las maletas preguntamos de nuevo y se nos informo que hablaban con el personal de embarque para que lo tuvieron en cuenta cosa que así se hizo y embarcamos sin problema.
Ya en Santa Cruz volvimos a llamar a Vueling para aclarar el embarque de vuelta. Nos atendió (Manuel de nuevo) quien nos informó que no teníamos embarque preferente y que lo podíamos contratar como así hicimos (48€). Al realizar el cheking online volvemos a comprobar que no aparece el embarque preferente por lo que hablamos de nuevo, con otra persona, quien nos informa que lo que habíamos contratado es el pase preferente por el control policial cosa que no sabíamos ni que existía!
Hago una reclamación escrita a Vueling y se nos contesta que si queremos tener embarque preferente que lo podemos hacer contratando filas delanteras con mas espacio que llevan incluido el embarque preferente. Contesto de nuevo diciendo lo que opino de la contestación que ya os podéis imaginar y esperando encontrar un mínimo de sentido común.
Al final y al no recibir contestación contrato lo sugerido por Vueling (para nosotros es importante el embarque preferente), 44€, y embarcamos sin mas incidencias.
Resumiendo, ademas del tiempo perdido, reclamaciones etc hemos pagado 2 ó 3 veces el embarque preferente sin haber tenido un mínimo de atención y empatía por parte de Vueling. Supongo que no les extrañara que casi tengan mas puntuaciones de opinión en el minimo (1) que en todas las demas.
Un saludo,"
40631,Desconocido,Barcelona,Oviedo,Domestic,septiembre de 2025,1,"Pésima experiencia. Imposibilidad de realizar check in online con asiento aleatorio, me dirijo al mostrador Vueling y me informan que hay overbooking, y debo esperar al final del embarque ya que hay 10 personas que han comprado el vuelo y que aún no han realizado la elección de asiento y es posible no se presenten al vuelo. Precisamente esas 10 personas fuimos las que esperamos en overbooking y finalmente pudimos acceder al vuelo. Táctica interesante para realizar la compra del asiento y así evitar esta situación de ""falso overbooking"". Pésima e ilegal actuación."
40632,Desconocido,Turin,Barcelona,Europe,agosto de 2025,1,"Hace años que vuelo con Vueling porque vivo en Turín y a Barcelona solo viajan Ryanair y Vueling. Muchas veces por los horarios me conviene viajar con Vueling. 

Al caso, desde el 26.08 se generó un caso de reclamación de crédito de vuelo, por un tema familiar, en el que me pedían más información, que envié al día siguiente. Mañana hará un mes que se abrió el expediente y nada. Después de haber enviado 6 correos, no me han respondido a ninguno de ellos. 

Quiero decir que ni cuando murió mi suegra me devolvieron el dinero; me pidieron un montón de documentación (en ese momento sí que al menos había un interlocutor por la otra parte), y al final me denegaron el crédito porque mi compañero y yo no estamos casados. A día de hoy tenemos una hija de 1 año y medio. 

Y por último, también quiero que quede escrito que durante el covid, que tenía un par de vuelos con ellos BCN-BIO (Bilbao), que cancelaron por razones obvias, tampoco me devolvieron el crédito de mis vuelos. 

Una absoluta vergüenza ir de superguais y enrollados cuando en realidad tienen EL PEOR SERVICIO AL CLIENTE."
40633,Desconocido,Barcelona,Düsseldorf,Europe,agosto de 2025,1,"En mi viaje a Alemania, facturé una maleta, y tuve que gestionarme yo misma todo el proceso de facturación en el Prat. Me preguntó: si yo pago por un servicio, por qué tengo yo que hacer el trabajo?
Curiosamente, en el aeropuerto de Düsseldorf, había personal en ventanilla y me lo hicieron ellos.
Por otra parte, el día de regreso, necesité cambiar mi vuelo por problemas de salud, y, habiendo pagado ese suplemento, me fue imposible conseguirlo... está todo pensado para que el cliente salga perdiendo y ellos ganando... además, los teléfonos de atención al cliente no los atiende nadie...
Vergonzoso e injusto...
Definitivamente, no volaré nunca más con Vueling...
Sr. Director, ahórrese la respuesta.."
40634,"Reus, España",Barcelona,Paris,Europe,septiembre de 2025,1,"No respetan a los clientes . Todo para el beneficio . Retrasos , mala información o ninguna . Si pueden eviten está compañía"
40635,Desconocido,London,Oviedo,Europe,septiembre de 2025,1,"En los últimos años , Vueling a perdiendo toda la credibilidad y la profesionalidad que tenía. Es la peor compañía, no cumplen un horario , el personal en tierra lo comenta de forma totalmente natural. No hay otra compañía que vuele a Inglaterra desde Asturias y se aprovechan , no sale ni llega un avión a la hora, es realmente vergonzoso, estamos totalmente desprotegidos ante este tipo de compañías que abusan de su impunidad. Haré todo lo posible por no volver a volar con ellos."
40636,Desconocido,Milan,Barcelona,Europe,septiembre de 2025,1,"Lamentable , nos anularon el vuelo poco antes de la salida , nos tuvieron en una sala durante horas , antes de llevarnos a un “Hotel” donde no pudimos ni cenar
Al final hemos tenido que sacar nuevos billetes con otra compañía, ellos no nos recolocaban hasta dentro de dos dias .
Nos tratan como a ganado ."
40637,Desconocido,Barcelona,Santiago de Compostela,Domestic,agosto de 2025,1,"Tuve que cancelar mi viaje. No tenia derecho a reembloso porque la tarifa que había elegido no lo permitía, pero sí que tenia derecho a recuperar las tasas del aeropuerto. Después de seguir todo el complicado proceso, me devolvieron 2 euros y Vueling se quedó con 16 euros en concepto de ""gastos de gestión"". Nunca más volaré con Vueling."
40638,Desconocido,Tenerife,Valencia,International,septiembre de 2025,1,"Habia comprado el vuelo a Valencia desde tenerife y me lo cancelaron por ""problemas técnicos"" en vez de buscarme una solución me dijeron que tenia que pasar la noche en Barcelona o pagarme un taxi yo y ya ellos me devuelven el dinero cuando puedan. Voy a ver a un familiar cercano que hace tiempo que no lo veo y solo porque esta porqueria de Aerolinea cancela los vuelos como si nada no podre hacerlo ya que tampoco me garantizan llevarme a Valencia. NO COMPREN NUNCA BILLETES EN ESTA AEROLINEA, LES SALDRA MAS CARO AUNQUE EL PASAJE SEA ""ECONOMICO"""
40639,Desconocido,Las Palmas de Gran Canaria,Barcelona,Domestic,septiembre de 2025,2,"Más que opinión es una queja, antes de ponerla en Trypadvisor quería hacerla en  la página de Vueling
El día 6 de septiembre. a las 15:55 volé con Vueling de LPA-BCN , me destinaron el asiento 31D.  No me quejo del asiento ni de  su localización en el avión, me quejo porque durante todo el vuelo las auxiliares de vuelo no pararon de hablar de temas personales, se les oia perfectamente lo que comentaban, reian y en fin....... nada profesionales.  Una de estas auxiliares se paseó en dos ocasiones comiendo por los pasillos del avión, la verdad que fue el broche a mi decepción.
Quiero un Vueling profesional, donde los pasajeros sean respetados"
40640,Desconocido,Paris,Malaga,Europe,septiembre de 2025,1,"Viajar con Vueling ha sido decepcionante. A pesar de llevar una maleta de mano de tamaño estándar, me hicieron pagar un suplemento inesperado en el aeropuerto. No fue nada claro al momento de la reserva y me pareció un abuso.  Son unos auténticos estafadores y sinvergüenzas"
40641,Desconocido,Bilbao,Valencia,Domestic,septiembre de 2025,5,"06/09/2025. Buen precio. 100% de puntualidad. Buen ambiente a bordo. Lo mejor, las azafatas: amables, simpaticas y facilitando la ubicacion del equipaje de mano. Volvere a volar con Vueling."
